"Rank,",College/University,",",Average Early Career Pay,",",Average Student Loan Debt,",",College Risk Reward Indicator
"660,","Mount St. Mary’s College – Los Angeles, CA",",","$48,500 ",",","$34,576 ",",1.40",
"661,",Capital University,",","$47,400 ",",","$33,833 ",",1.40",
"662,",Northern Michigan University,",","$41,400 ",",","$29,618 ",",1.40",
"663,",Bemidji State University (BSU),",","$39,900 ",",","$28,564 ",",1.40",
"664,",Indiana University-Purdue University – Indianapolis (IUPUI),",","$43,300 ",",","$31,010 ",",1.40",
"665,",Our Lady of the Lake University (OLLU),",","$39,600 ",",","$28,362 ",",1.40",
"666,",Hardin-Simmons University (HSU),",","$48,000 ",",","$34,380 ",",1.40",
"667,",Saint Leo University,",","$38,300 ",",","$27,436 ",",1.40",
"668,",University of New Mexico (UNM),",","$40,600 ",",","$29,116 ",",1.39",
"669,",Pennsylvania State University (Penn State) – Harrisburg Campus,",","$51,500 ",",","$36,935 ",",1.39",
"670,",Saint Anselm College,",","$49,600 ",",","$35,601 ",",1.39",
"671,",Salem State University,",","$39,800 ",",","$28,576 ",",1.39",
"672,",Saint Cloud State University,",","$44,500 ",",","$31,953 ",",1.39",
"673,","Southwestern College – Winfield, KS",",","$46,600 ",",","$33,478 ",",1.39",
"674,",D’Youville College,",","$46,100 ",",","$33,169 ",",1.39",
"675,",Florida Institute of Technology (Florida Tech),",","$56,100 ",",","$40,383 ",",1.39",
"676,",Franciscan University of Steubenville,",","$45,000 ",",","$32,443 ",",1.39",
"677,",University of St. Francis,",","$40,800 ",",","$29,418 ",",1.39",
"678,",William Jewell College,",","$41,400 ",",","$29,885 ",",1.39",
"679,",Valparaiso University,",","$49,100 ",",","$35,449 ",",1.39",
"680,",Youngstown State University (YSU),",","$42,200 ",",","$30,481 ",",1.38",
"681,",Western Oregon University,",","$39,200 ",",","$28,331 ",",1.38",
"682,","Assumption College – Worcester, MA",",","$47,600 ",",","$34,417 ",",1.38",
"683,",Virginia State University (VSU),",","$39,000 ",",","$28,250 ",",1.38",
"684,",Millersville University of Pennsylvania,",","$41,100 ",",","$29,791 ",",1.38",
"685,",University of Pittsburgh – Main Campus,",","$50,300 ",",","$36,466 ",",1.38",
"686,",University of Alabama – Birmingham Campus,",","$42,200 ",",","$30,642 ",",1.38",
"687,",Sam Houston State University,",","$43,200 ",",","$31,433 ",",1.37",
"688,",Montana State University – Billings Campus,",","$37,400 ",",","$27,225 ",",1.37",
"689,",West Chester University,",","$42,300 ",",","$30,881 ",",1.37",
"690,","Bowling Green State University – Bowling Green, OH",",","$41,500 ",",","$30,307 ",",1.37",
"691,",North Park University,",","$40,800 ",",","$29,800 ",",1.37",
"692,",St. Xavier University,",","$41,100 ",",","$30,068 ",",1.37",
"693,",SUNY – Fredonia,",","$39,500 ",",","$28,900 ",",1.37",
"694,",Huntingdon College,",","$38,700 ",",","$28,322 ",",1.37",
"695,",University of Detroit Mercy (UDM),",","$49,400 ",",","$36,180 ",",1.37",
"696,",Colorado Christian University,",","$45,800 ",",","$33,588 ",",1.36",
"697,",Mercyhurst College,",","$41,300 ",",","$30,364 ",",1.36",
"698,",Southern University and A&M College,",","$43,200 ",",","$31,796 ",",1.36",
"699,",Lipscomb University,",","$41,400 ",",","$30,480 ",",1.36",
"700,",Elizabethtown College,",","$41,200 ",",","$30,355 ",",1.36",
"701,",St. Thomas Aquinas College,",","$39,000 ",",","$28,750 ",",1.36",
"702,",Oral Roberts University (ORU),",","$44,400 ",",","$32,750 ",",1.36",
"703,",Western Michigan University (WMU),",","$44,300 ",",","$32,720 ",",1.35",
"704,",Immaculata University,",","$43,500 ",",","$32,132 ",",1.35",
"705,",Creighton University,",","$45,200 ",",","$33,428 ",",1.35",
"706,",Virginia Commonwealth University (VCU),",","$43,800 ",",","$32,411 ",",1.35",
"707,",SUNY – College at Oswego,",","$38,200 ",",","$28,362 ",",1.35",
"708,",California University of Pennsylvania (Cal U),",","$39,200 ",",","$29,105 ",",1.35",
"709,",Grand Valley State University,",","$40,700 ",",","$30,222 ",",1.35",
"710,",The University of Tennessee at Martin (UT Martin),",","$38,600 ",",","$28,701 ",",1.34",
"711,",Maryville University of Saint Louis,",","$42,600 ",",","$31,696 ",",1.34",
"712,",Pacific Lutheran University,",","$43,600 ",",","$32,459 ",",1.34",
"713,",Austin Peay State University,",","$38,700 ",",","$28,820 ",",1.34",
"714,",Arkansas Tech University,",","$40,100 ",",","$29,865 ",",1.34",
"715,",Transylvania University,",","$37,700 ",",","$28,079 ",",1.34",
"716,",Manhattanville College,",","$44,900 ",",","$33,444 ",",1.34",
"717,",North Carolina Wesleyan College (NCWC),",","$42,000 ",",","$31,308 ",",1.34",
"718,",University of Arkansas – Pine Bluff Campus,",","$37,100 ",",","$27,664 ",",1.34",
"719,",Chadron State College,",","$34,200 ",",","$25,508 ",",1.34",
"720,","North Central College – Naperville, IL",",","$43,000 ",",","$32,086 ",",1.34",
"721,",Hope College,",","$42,500 ",",","$31,717 ",",1.34",
"722,",Adelphi University,",","$43,300 ",",","$32,328 ",",1.34",
"723,",College of Mount St. Joseph,",","$38,200 ",",","$28,540 ",",1.34",
"724,",Bellarmine University,",","$42,000 ",",","$31,381 ",",1.34",
"725,","Augustana College – Sioux Falls, SD",",","$42,300 ",",","$31,612 ",",1.34",
"726,",Knox College,",","$38,900 ",",","$29,085 ",",1.34",
"727,",Lewis University,",","$45,100 ",",","$33,748 ",",1.34",
"728,",University of West Florida (UWF),",","$39,700 ",",","$29,712 ",",1.34",
"729,",Beloit College,",","$38,400 ",",","$28,768 ",",1.33",
"730,","Columbia College – Chicago, IL",",","$39,800 ",",","$29,824 ",",1.33",
"731,",Bryant University,",","$52,400 ",",","$39,283 ",",1.33",
"732,",Webster University,",","$40,500 ",",","$30,413 ",",1.33",
"733,","Allegheny College – Meadville, PA",",","$38,900 ",",","$29,216 ",",1.33",
"734,",Fayetteville State University,",","$31,900 ",",","$24,029 ",",1.33",
"735,","Concordia University – Saint Paul, MN",",","$40,800 ",",","$30,747 ",",1.33",
"736,",Upper Iowa University,",","$40,300 ",",","$30,401 ",",1.33",
"737,",Indiana University (IU) – Kokomo,",","$35,300 ",",","$26,651 ",",1.32",
"738,","Concordia University – Mequon, WI",",","$40,900 ",",","$30,880 ",",1.32",
"739,",University of Central Arkansas,",","$39,300 ",",","$29,696 ",",1.32",
"740,","Johnson & Wales University (JWU) – Providence, RI",",","$41,600 ",",","$31,440 ",",1.32",
"741,",Missouri Southern State University (MSSU),",","$38,900 ",",","$29,405 ",",1.32",
"742,",Baker University,",","$43,700 ",",","$33,084 ",",1.32",
"743,","Fairleigh Dickinson University (FDU) – Teaneck, NJ",",","$43,600 ",",","$33,009 ",",1.32",
"744,",Peirce College,",","$45,900 ",",","$34,796 ",",1.32",
"745,",Malone University,",","$40,400 ",",","$30,679 ",",1.32",
"746,","Concordia College – Moorhead, MN",",","$39,400 ",",","$29,924 ",",1.32",
"747,",Indiana Wesleyan University (IWU),",","$41,900 ",",","$31,828 ",",1.32",
"748,",Fordham University,",","$49,500 ",",","$37,607 ",",1.32",
"749,",Saint Mary’s University of Minnesota,",","$43,700 ",",","$33,216 ",",1.32",
"750,",Columbia University,",","$60,200 ",",","$45,768 ",",1.32",
"751,",University of Wisconsin (UWM) – Milwaukee,",","$43,700 ",",","$33,234 ",",1.31",
"752,",Valdosta State University (VSU),",","$35,900 ",",","$27,308 ",",1.31",
"753,",Northern State University,",","$36,100 ",",","$27,487 ",",1.31",
"754,",University of Maine at Farmington (UMF),",","$41,700 ",",","$31,792 ",",1.31",
"755,","Mount Mary College – Milwaukee, WI",",","$39,000 ",",","$29,759 ",",1.31",
"756,","La Salle University – Philadelphia, PA",",","$46,200 ",",","$35,327 ",",1.31",
"757,",Edinboro University of Pennsylvania,",","$36,400 ",",","$27,872 ",",1.31",
"758,",Ferris State University,",","$46,600 ",",","$35,720 ",",1.30",
"759,",Niagara University,",","$39,500 ",",","$30,289 ",",1.30",
"760,",University of Wisconsin (UW) – Green Bay Campus,",","$35,500 ",",","$27,239 ",",1.30",
"761,","School of Visual Arts (SVA) – New York, NY",",","$43,200 ",",","$33,172 ",",1.30",
"762,",Charter Oak State College,",","$45,000 ",",","$34,576 ",",1.30",
"763,",Arcadia University,",","$36,600 ",",","$28,124 ",",1.30",
"764,",Madonna University,",","$42,800 ",",","$32,900 ",",1.30",
"765,",Clayton State University,",","$42,000 ",",","$32,292 ",",1.30",
"766,",Marist College,",","$45,200 ",",","$34,801 ",",1.30",
"767,","Kaplan University – Davenport, IA",",","$41,200 ",",","$31,736 ",",1.30",
"768,",Eastern Illinois University,",","$40,500 ",",","$31,219 ",",1.30",
"769,",Cornerstone University,",","$36,200 ",",","$27,919 ",",1.30",
"770,",Western Connecticut State University,",","$40,300 ",",","$31,120 ",",1.29",
"771,",Duquesne University,",","$44,700 ",",","$34,522 ",",1.29",
"772,",Millikin University,",","$41,400 ",",","$31,989 ",",1.29",
"773,",California College of the Arts,",","$44,300 ",",","$34,237 ",",1.29",
"774,",Nebraska Wesleyan University (NWU),",","$39,200 ",",","$30,296 ",",1.29",
"775,",University of Michigan – Flint Campus,",","$41,500 ",",","$32,107 ",",1.29",
"776,",Clark Atlanta University (CAU),",","$42,700 ",",","$33,048 ",",1.29",
"777,",Boston University,",","$50,600 ",",","$39,166 ",",1.29",
"778,",Mississippi College,",","$37,700 ",",","$29,189 ",",1.29",
"779,",University of Arkansas for Medical Sciences (UAMS),",","$45,100 ",",","$34,928 ",",1.29",
"780,",Slippery Rock University,",","$39,300 ",",","$30,458 ",",1.29",
"781,",Saginaw Valley State University (SVSU),",","$39,500 ",",","$30,616 ",",1.29",
"782,",Birmingham Southern College,",","$41,100 ",",","$31,872 ",",1.29",
"783,",LaGrange College,",","$42,000 ",",","$32,574 ",",1.29",
"784,",Lock Haven University,",","$37,800 ",",","$29,353 ",",1.29",
"785,",Norfolk State University,",","$41,600 ",",","$32,320 ",",1.29",
"786,","Saint Joseph’s University (SJU) – Philadelphia, PA",",","$48,300 ",",","$37,557 ",",1.29",
"787,",Pratt Institute,",","$44,800 ",",","$34,877 ",",1.28",
"788,",Saint Louis University (SLU),",","$45,700 ",",","$35,615 ",",1.28",
"789,",Nichols College,",","$42,000 ",",","$32,747 ",",1.28",
"790,","Columbia College – Columbia, MO",",","$39,700 ",",","$30,956 ",",1.28",
"791,",Notre Dame College,",","$39,200 ",",","$30,580 ",",1.28",
"792,",Massachusetts College of Liberal Arts (MCLA),",","$36,900 ",",","$28,817 ",",1.28",
"793,",North Central University,",","$36,200 ",",","$28,272 ",",1.28",
"794,",SUNY – College at Plattsburgh,",","$36,000 ",",","$28,125 ",",1.28",
"795,",University of Pittsburgh – Johnstown Campus,",","$43,700 ",",","$34,162 ",",1.28",
"796,",Andrews University,",","$46,700 ",",","$36,536 ",",1.28",
"797,","Berkeley College – New York, NY",",","$43,600 ",",","$34,132 ",",1.28",
"798,",Southeastern University,",","$36,700 ",",","$28,732 ",",1.28",
"799,",Columbus State University,",","$38,500 ",",","$30,142 ",",1.28",
"800,",Southern Oregon University,",","$39,500 ",",","$30,936 ",",1.28",
"801,",Bridgewater State College,",","$40,900 ",",","$32,040 ",",1.28",
"802,",Maryland Institute College of Art,",","$37,900 ",",","$29,708 ",",1.28",
"803,",Mount Olive College,",","$36,000 ",",","$28,241 ",",1.27",
"804,","University of St. Thomas – St Paul, MN",",","$47,300 ",",","$37,131 ",",1.27",
"805,",Stevenson University,",","$41,400 ",",","$32,503 ",",1.27",
"806,","York College – York, PA",",","$45,400 ",",","$35,669 ",",1.27",
"807,",Temple University,",","$45,400 ",",","$35,760 ",",1.27",
"808,",Point Park University,",","$36,500 ",",","$28,753 ",",1.27",
"809,",Walla Walla University,",","$49,200 ",",","$38,778 ",",1.27",
"810,",Walsh University – Ohio,",","$37,200 ",",","$29,324 ",",1.27",
"811,","Monmouth College – Monmouth, IL",",","$39,500 ",",","$31,154 ",",1.27",
"812,",Averett University,",","$40,400 ",",","$31,876 ",",1.27",
"813,",Thomas More College,",","$39,300 ",",","$31,014 ",",1.27",
"814,",Le Moyne College,",","$43,700 ",",","$34,500 ",",1.27",
"815,",University of New Hampshire (UNH) – Main Campus,",","$46,800 ",",","$36,965 ",",1.27",
"816,",Tennessee State University,",","$45,100 ",",","$35,645 ",",1.27",
"817,",Plymouth State University,",","$40,900 ",",","$32,327 ",",1.27",
"818,",Point Loma Nazarene University,",","$41,300 ",",","$32,649 ",",1.26",
"819,",Eckerd College,",","$42,600 ",",","$33,697 ",",1.26",
"820,",Geneva College,",","$41,300 ",",","$32,673 ",",1.26",
"821,",Lynn University,",","$39,100 ",",","$30,938 ",",1.26",
"822,",Baldwin-Wallace College,",","$41,100 ",",","$32,526 ",",1.26",
"823,",Ohio Dominican University,",","$42,800 ",",","$33,928 ",",1.26",
"824,",Morehead State University (Kentucky),",","$35,500 ",",","$28,147 ",",1.26",
"825,",Bay Path College,",","$40,900 ",",","$32,472 ",",1.26",
"826,",Brenau University,",","$42,000 ",",","$33,376 ",",1.26",
"827,","University of the Arts (UArts) – Philadelphia, PA",",","$40,800 ",",","$32,452 ",",1.26",
"828,",Indiana University of Pennsylvania (IUP),",","$42,500 ",",","$33,807 ",",1.26",
"829,",Salve Regina University,",","$48,300 ",",","$38,425 ",",1.26",
"830,",Albertus Magnus College,",","$42,700 ",",","$33,975 ",",1.26",
"831,",SUNY – Empire State College,",","$42,200 ",",","$33,584 ",",1.26",
"832,","Robert Morris University (RMU) – Chicago, IL",",","$39,600 ",",","$31,562 ",",1.25",
"833,",Briar Cliff University,",","$38,800 ",",","$30,948 ",",1.25",
"834,",University of Scranton,",","$48,400 ",",","$38,640 ",",1.25",
"835,",Viterbo University,",","$42,400 ",",","$33,864 ",",1.25",
"836,",Butler University,",","$44,800 ",",","$35,797 ",",1.25",
"837,",Morgan State University,",","$44,500 ",",","$35,568 ",",1.25",
"838,","Bethel University – Saint Paul, MN",",","$42,000 ",",","$33,685 ",",1.25",
"839,",Kean University,",","$41,000 ",",","$32,886 ",",1.25",
"840,",University of South Carolina – Aiken Campus,",","$35,000 ",",","$28,104 ",",1.25",
"841,",Tusculum College,",","$36,300 ",",","$29,162 ",",1.24",
"842,",DeSales University,",","$45,800 ",",","$36,798 ",",1.24",
"843,",Jackson State University (JSU),",","$39,300 ",",","$31,576 ",",1.24",
"844,","Robert Morris University (RMU) – Moon Township, PA",",","$46,700 ",",","$37,531 ",",1.24",
"845,",Lander University,",","$37,800 ",",","$30,416 ",",1.24",
"846,",Messiah College,",","$42,600 ",",","$34,301 ",",1.24",
"847,",Columbus College of Art And Design,",","$39,700 ",",","$32,006 ",",1.24",
"848,",Keene State College,",","$41,900 ",",","$33,796 ",",1.24",
"849,",Gardner-Webb University,",","$36,600 ",",","$29,543 ",",1.24",
"850,",Kent State University (KSU),",","$40,100 ",",","$32,393 ",",1.24",
"851,",Central Michigan University,",","$41,500 ",",","$33,545 ",",1.24",
"852,",Olivet Nazarene University,",","$40,700 ",",","$32,906 ",",1.24",
"853,",Ashford University,",","$38,300 ",",","$30,976 ",",1.24",
"854,",Houghton College,",","$32,800 ",",","$26,550 ",",1.24",
"855,","Anderson University – Anderson, IN",",","$39,900 ",",","$32,298 ",",1.24",
"856,",University of South Alabama,",","$43,700 ",",","$35,468 ",",1.23",
"857,",Langston University,",","$40,000 ",",","$32,500 ",",1.23",
"858,",Grambling State University,",","$40,500 ",",","$32,916 ",",1.23",
"859,",Sullivan University,",","$42,200 ",",","$34,324 ",",1.23",
"860,",College of Our Lady of the Elms,",","$43,100 ",",","$35,089 ",",1.23",
"861,",Faulkner University,",","$35,600 ",",","$29,000 ",",1.23",
"862,",Dowling College,",","$48,000 ",",","$39,116 ",",1.23",
"863,",Biola University,",","$41,800 ",",","$34,107 ",",1.23",
"864,",Lynchburg College,",","$41,100 ",",","$33,592 ",",1.22",
"865,","Marian University – Fond Du Lac, WI",",","$41,600 ",",","$34,076 ",",1.22",
"866,",University of Tampa,",","$41,100 ",",","$33,673 ",",1.22",
"867,",Charleston Southern University (CSU),",","$37,800 ",",","$30,988 ",",1.22",
"868,",Savannah State University (SSU),",","$37,800 ",",","$31,024 ",",1.22",
"869,",Washington & Jefferson College,",","$43,500 ",",","$35,833 ",",1.21",
"870,",Keuka College,",","$40,400 ",",","$33,316 ",",1.21",
"871,",Augsburg College,",","$46,300 ",",","$38,216 ",",1.21",
"872,",University of Mary Hardin-Baylor (UMHB),",","$44,800 ",",","$37,048 ",",1.21",
"873,",Westmont College,",","$41,600 ",",","$34,428 ",",1.21",
"874,",University of North Alabama (UNA),",","$36,000 ",",","$29,839 ",",1.21",
"875,","University of St. Thomas – Houston, TX",",","$44,000 ",",","$36,497 ",",1.21",
"876,",Indiana University (IU) – South Bend,",","$36,000 ",",","$29,919 ",",1.20",
"877,",Winthrop University,",","$38,700 ",",","$32,165 ",",1.20",
"878,",University of Indianapolis,",","$42,800 ",",","$35,689 ",",1.20",
"879,",University of Redlands,",","$44,400 ",",","$37,052 ",",1.20",
"880,",Trinity University,",","$42,300 ",",","$35,318 ",",1.20",
"881,",Texas Christian University (TCU),",","$47,400 ",",","$39,584 ",",1.20",
"882,","Simpson College – Indianola, IA",",","$41,300 ",",","$34,500 ",",1.20",
"883,",Delta State University,",","$37,100 ",",","$31,020 ",",1.20",
"884,",Stetson University,",","$38,600 ",",","$32,302 ",",1.19",
"885,",University of Montevallo,",","$32,300 ",",","$27,090 ",",1.19",
"886,","Saint John’s University (SJU) – Collegeville, MN",",","$45,400 ",",","$38,089 ",",1.19",
"887,",Misericordia University,",","$41,800 ",",","$35,140 ",",1.19",
"888,",Wilkes University,",","$45,200 ",",","$38,082 ",",1.19",
"889,",The Richard Stockton College of New Jersey,",","$39,800 ",",","$33,543 ",",1.19",
"890,",Alma College,",","$38,400 ",",","$32,389 ",",1.19",
"891,","St. John Fisher College – Rochester, NY",",","$39,100 ",",","$32,982 ",",1.19",
"892,",Ursinus College,",","$41,900 ",",","$35,360 ",",1.18",
"893,",National Louis University,",","$44,200 ",",","$37,344 ",",1.18",
"894,","Wilmington College – Wilmington, OH",",","$36,900 ",",","$31,192 ",",1.18",
"895,","Lake Superior State University – Sault Ste Marie, MI",",","$40,000 ",",","$33,844 ",",1.18",
"896,",Coastal Carolina University,",","$41,600 ",",","$35,207 ",",1.18",
"897,",Saint Francis University,",","$43,300 ",",","$36,656 ",",1.18",
"898,",West Virginia State University,",","$34,400 ",",","$29,132 ",",1.18",
"899,",Lindenwood University,",","$39,700 ",",","$33,624 ",",1.18",
"900,",Roger Williams University,",","$47,900 ",",","$40,612 ",",1.18",
"901,",Roberts Wesleyan College,",","$41,800 ",",","$35,461 ",",1.18",
"902,",Winona State University,",","$41,400 ",",","$35,131 ",",1.18",
"903,",Avila University,",","$42,400 ",",","$36,056 ",",1.18",
"904,",Emporia State University,",","$35,800 ",",","$30,488 ",",1.17",
"905,",University of Mount Union,",","$40,600 ",",","$34,586 ",",1.17",
"906,",Midamerica Nazarene University,",","$37,900 ",",","$32,304 ",",1.17",
"907,",Roosevelt University,",","$38,500 ",",","$32,836 ",",1.17",
"908,",Luther College,",","$43,200 ",",","$36,918 ",",1.17",
"909,",Walden University,",","$41,100 ",",","$35,152 ",",1.17",
"910,",Eastern University,",","$40,500 ",",","$34,662 ",",1.17",
"911,",Ripon College,",","$40,600 ",",","$34,820 ",",1.17",
"912,",Hiram College,",","$37,700 ",",","$32,344 ",",1.17",
"913,",Evangel University,",","$35,100 ",",","$30,179 ",",1.16",
"914,",Gwynedd-Mercy University,",","$44,000 ",",","$37,860 ",",1.16",
"915,",Southern Adventist University,",","$45,000 ",",","$38,772 ",",1.16",
"916,",Woodbury University,",","$47,100 ",",","$40,699 ",",1.16",
"917,",Centenary College,",","$35,500 ",",","$30,704 ",",1.16",
"918,",Whittier College,",","$43,200 ",",","$37,379 ",",1.16",
"919,",St. Ambrose University,",","$40,300 ",",","$34,937 ",",1.15",
"920,",Alabama A&M University (AAMU),",","$44,700 ",",","$38,819 ",",1.15",
"921,",Barry University,",","$44,100 ",",","$38,342 ",",1.15",
"922,",Alabama State University (ASU),",","$37,500 ",",","$32,629 ",",1.15",
"923,",Johnson C Smith University,",","$38,300 ",",","$33,377 ",",1.15",
"924,",Husson University,",","$37,100 ",",","$32,343 ",",1.15",
"925,",Hamline University,",","$41,300 ",",","$36,006 ",",1.15",
"926,","Carroll University – Waukesha, WI",",","$37,700 ",",","$32,931 ",",1.14",
"927,","Augustana College – Rock Island, IL",",","$40,500 ",",","$35,385 ",",1.14",
"928,",Mount Vernon Nazarene University (MVNU),",","$36,600 ",",","$32,068 ",",1.14",
"929,",Davenport University,",","$41,100 ",",","$36,040 ",",1.14",
"930,",North Carolina Central University,",","$36,200 ",",","$31,747 ",",1.14",
"931,",Siena Heights University,",","$40,100 ",",","$35,176 ",",1.14",
"932,",Bloomfield College,",","$38,100 ",",","$33,443 ",",1.14",
"933,",Francis Marion University,",","$33,000 ",",","$28,979 ",",1.14",
"934,",Marietta College,",","$45,200 ",",","$39,708 ",",1.14",
"935,",Texas A&M University – Commerce Campus,",","$38,300 ",",","$33,700 ",",1.14",
"936,",Savannah College of Art and Design (SCAD),",","$40,900 ",",","$36,088 ",",1.13",
"937,",Eastern Oregon University,",","$37,800 ",",","$33,460 ",",1.13",
"938,",Kutztown University of Pennsylvania,",","$37,600 ",",","$33,376 ",",1.13",
"939,",Central State University,",","$37,700 ",",","$33,488 ",",1.13",
"940,",Medical University of South Carolina,",","$51,100 ",",","$45,456 ",",1.12",
"941,",Gustavus Adolphus College,",","$41,100 ",",","$36,636 ",",1.12",
"942,",University of New Haven,",","$48,700 ",",","$43,472 ",",1.12",
"943,",Quinnipiac University,",","$51,200 ",",","$45,711 ",",1.12",
"944,",Bridgewater College,",","$37,300 ",",","$33,326 ",",1.12",
"945,",Walsh College of Accountancy and Business Administration,",","$49,300 ",",","$44,148 ",",1.12",
"946,",University of Maine at Augusta (UMA),",","$34,400 ",",","$30,827 ",",1.12",
"947,",Endicott College,",","$43,500 ",",","$39,187 ",",1.11",
"948,",Franklin Pierce University,",","$42,700 ",",","$38,546 ",",1.11",
"949,",The College of Saint Scholastica,",","$47,400 ",",","$42,792 ",",1.11",
"950,",Cedar Crest College,",","$46,400 ",",","$41,939 ",",1.11",
"951,",Southern Nazarene University,",","$43,600 ",",","$39,592 ",",1.10",
"952,",Cabrini College,",","$39,500 ",",","$35,880 ",",1.10",
"953,",Barton College,",","$34,500 ",",","$31,376 ",",1.10",
"954,",Nazareth College of Rochester,",","$38,900 ",",","$35,396 ",",1.10",
"955,",Franklin University,",","$41,700 ",",","$37,944 ",",1.10",
"956,",Mansfield University of Pennsylvania,",","$37,100 ",",","$33,799 ",",1.10",
"957,","Sacred Heart University – Fairfield, CT",",","$50,200 ",",","$45,746 ",",1.10",
"958,","Lee University – Cleveland, TN",",","$35,200 ",",","$32,163 ",",1.09",
"959,",Curry College,",","$47,400 ",",","$43,388 ",",1.09",
"960,",Medaille College,",","$37,700 ",",","$34,672 ",",1.09",
"961,",Moore College of Art and Design,",","$35,900 ",",","$33,076 ",",1.09",
"962,",Holy Family University,",","$43,600 ",",","$40,363 ",",1.08",
"963,",Hawaii Pacific University,",","$41,600 ",",","$38,648 ",",1.08",
"964,",Art Institute of Colorado,",","$41,400 ",",","$38,572 ",",1.07",
"965,",Wingate University,",","$32,000 ",",","$29,939 ",",1.07",
"966,",Utica College,",","$44,800 ",",","$42,083 ",",1.06",
"967,",Wartburg College,",","$41,900 ",",","$39,414 ",",1.06",
"968,",Troy University,",","$38,900 ",",","$36,684 ",",1.06",
"969,","St. Catherine University – St. Paul, MN",",","$42,100 ",",","$39,748 ",",1.06",
"970,",Carlow University,",","$35,500 ",",","$33,524 ",",1.06",
"971,",Shaw University,",","$35,100 ",",","$33,148 ",",1.06",
"972,",Meredith College,",","$36,400 ",",","$34,535 ",",1.05",
"973,",South Carolina State University,",","$42,900 ",",","$40,736 ",",1.05",
"974,","Bethel University – McKenzie, TN",",","$36,200 ",",","$34,420 ",",1.05",
"975,",Alverno College,",","$40,600 ",",","$38,642 ",",1.05",
"976,",Philadelphia University,",","$42,100 ",",","$40,101 ",",1.05",
"977,",Western State College of Colorado,",","$46,000 ",",","$43,892 ",",1.05",
"978,",Grand View University (GVU),",","$39,700 ",",","$38,160 ",",1.04",
"979,",Morningside College,",","$35,900 ",",","$34,667 ",",1.04",
"980,","Culinary Institute of America (CIA) – Hyde Park, NY",",","$36,800 ",",","$35,617 ",",1.03",
"981,",Indiana Institute Of Technology,",","$43,200 ",",","$41,844 ",",1.03",
"982,",Buena Vista University,",","$35,200 ",",","$34,173 ",",1.03",
"983,",Ashland University,",","$37,700 ",",","$36,779 ",",1.03",
"984,","Clarke College – Dubuque, IA",",","$38,000 ",",","$37,200 ",",1.02",
"985,",Chicago State University (CSU),",","$40,900 ",",","$40,160 ",",1.02",
"986,",Limestone College,",","$38,200 ",",","$37,536 ",",1.02",
"987,",Chestnut Hill College,",","$36,000 ",",","$35,376 ",",1.02",
"988,",Abilene Christian University,",","$44,500 ",",","$43,841 ",",1.02",
"989,",Marywood University,",","$41,400 ",",","$41,559 ",",1.00",
"990,",Heidelberg University,",","$36,700 ",",","$36,962 ",",0.99",
"991,",College of New Rochelle,",","$36,600 ",",","$37,437 ",",0.98",
"992,",Texas Wesleyan University,",","$36,100 ",",","$37,014 ",",0.98",
"993,",Delaware Valley College,",","$38,400 ",",","$39,671 ",",0.97",
"994,",Bluffton University,",","$34,500 ",",","$35,883 ",",0.96",
"995,",Georgian Court University,",","$38,700 ",",","$40,551 ",",0.95",
"996,",Nyack College,",","$35,800 ",",","$37,577 ",",0.95",
"997,",Texas Southern University,",","$41,500 ",",","$43,600 ",",0.95",
"998,",Canisius College,",","$38,800 ",",","$40,913 ",",0.95",
"999,",Delaware State University,",","$36,600 ",",","$38,702 ",",0.95",
"1000,","King College – Bristol, TN",",","$35,600 ",",","$38,040 ",",0.94",
"1001,",Spring Arbor University,",","$33,900 ",",","$36,866 ",",0.92",
"1002,",School of the Art Institute of Chicago,",","$38,600 ",",","$42,097 ",",0.92",
"1003,",Central Methodist University,",","$39,800 ",",","$47,344 ",",0.84",
"1004,","Springfield College – Springfield, MA",",","$31,900 ",",","$41,659 ",",0.77",
